Comuna,Año,Casos confirmados,Porcentaje promedio de cobertura de casos sospechosos,Total de casos positivos según el test PCR,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis,Fallecidos por covid-19,Total fallecidos,Cant de transacciones BIP en 2020
Pirque,2021,290947.0,94.7423076923077,359.7,28532.0,27267.0,19914.0,0.0,1495.0,40.0,2518.0,
Pirque,2022,694416.0,89.96410256410256,607.3,1104.0,1919.0,8153.0,21217.0,0.0,17.0,4016.0,
Pirque,2023,17507.0,,,5.0,6.0,19.0,122.0,0.0,,252.0,
Providencia,2020,205799.0,83.67894736842106,53.0,1161.0,0.0,0.0,0.0,0.0,270.0,3137.0,7664249.0
Providencia,2021,888492.0,89.36346153846154,246.3,239948.0,233878.0,188571.0,0.0,4878.0,225.0,12698.0,
Providencia,2022,3249546.0,92.65641025641024,539.6,5802.0,9993.0,42706.0,195458.0,1.0,131.0,23383.0,
Providencia,2023,92201.0,,,149.0,101.0,217.0,643.0,0.0,,1600.0,
Pudahuel,2020,601038.0,91.26315789473684,88.8,0.0,0.0,0.0,0.0,0.0,359.0,4882.0,3060444.0
Pudahuel,2021,2503012.0,90.33269230769233,438.9,192590.0,183527.0,124891.0,0.0,2948.0,305.0,21027.0,
Pudahuel,2022,5268871.0,93.31794871794872,562.6,8591.0,13295.0,53366.0,133422.0,0.0,135.0,34858.0,
Pudahuel,2023,126468.0,,,64.0,63.0,185.0,595.0,0.0,,2142.0,
Puente Alto,2020,1454959.0,92.6263157894737,109.9,324.0,0.0,0.0,0.0,0.0,1057.0,12273.0,5969535.0
Puente Alto,2021,6361825.0,87.82499999999999,487.5,383620.0,365443.0,264083.0,0.0,16826.0,924.0,58780.0,
Puente Alto,2022,13450481.0,92.37692307692308,606.7,15746.0,26079.0,102808.0,281502.0,0.0,305.0,94485.0,
Puente Alto,2023,329748.0,,,161.0,102.0,473.0,1511.0,0.0,,5780.0,
Quilicura,2020,558569.0,88.98421052631579,89.7,0.0,0.0,0.0,0.0,0.0,269.0,3223.0,2984959.0
Quilicura,2021,1990359.0,87.73269230769232,455.4,170718.0,161334.0,109688.0,0.0,8353.0,239.0,14959.0,
Quilicura,2022,4387950.0,91.31538461538462,657.5,7879.0,12143.0,48121.0,115739.0,0.0,84.0,24029.0,
Quilicura,2023,106728.0,,,56.0,43.0,140.0,511.0,0.0,,1470.0,
Quinta Normal,2020,369221.0,90.46315789473684,70.1,126.0,0.0,0.0,0.0,0.0,273.0,3539.0,1642372.0
Quinta Normal,2021,1444693.0,86.11153846153846,420.7,106449.0,100733.0,67189.0,0.0,2180.0,234.0,15153.0,
Quinta Normal,2022,3033425.0,91.95384615384614,513.5,5270.0,8015.0,28988.0,70910.0,0.0,98.0,25533.0,
Quinta Normal,2023,72699.0,,,44.0,31.0,106.0,252.0,0.0,,1592.0,
Recoleta,2020,525567.0,88.48421052631579,88.4,270.0,0.0,0.0,0.0,0.0,487.0,6273.0,4026616.0
Recoleta,2021,1722161.0,86.11346153846154,413.4,136492.0,130180.0,90631.0,0.0,6045.0,285.0,23473.0,
Recoleta,2022,3351819.0,91.45128205128204,491.3,5658.0,8494.0,36933.0,96145.0,0.0,111.0,34335.0,
Recoleta,2023,80509.0,,,54.0,33.0,110.0,286.0,0.0,,2072.0,
Renca,2020,528210.0,92.26315789473684,99.2,0.0,0.0,0.0,0.0,0.0,305.0,4844.0,1218677.0
Renca,2021,2139472.0,87.85384615384615,517.1,117247.0,110620.0,70735.0,0.0,3604.0,286.0,20163.0,
Renca,2022,3827499.0,91.28717948717949,456.0,6764.0,9874.0,38632.0,76710.0,0.0,80.0,33226.0,
Renca,2023,88517.0,,,36.0,28.0,70.0,256.0,0.0,,1960.0,
San Bernardo,2020,685299.0,90.68947368421053,86.0,235.0,0.0,0.0,0.0,0.0,531.0,6770.0,1629212.0
San Bernardo,2021,3062261.0,91.15576923076924,489.1,232014.0,219495.0,142108.0,0.0,8265.0,560.0,31510.0,
San Bernardo,2022,6323593.0,91.25641025641026,548.4,12095.0,17973.0,70180.0,152741.0,0.0,169.0,51966.0,
San Bernardo,2023,151786.0,,,64.0,39.0,207.0,682.0,0.0,,3136.0,
San Joaquín,2020,308815.0,91.27894736842104,73.9,0.0,0.0,0.0,0.0,0.0,229.0,3231.0,927591.0
San Joaquín,2021,1182573.0,90.1156862745098,409.0,92639.0,87889.0,59915.0,0.0,2955.0,212.0,14283.0,
San Joaquín,2022,2342593.0,92.73589743589744,559.4,3656.0,5912.0,25216.0,62094.0,0.0,61.0,22025.0,
San Joaquín,2023,55871.0,,,35.0,15.0,79.0,184.0,0.0,,1302.0,
San José de Maipo,2020,40889.0,91.84210526315788,72.0,0.0,0.0,0.0,0.0,0.0,34.0,476.0,
San José de Maipo,2021,163567.0,90.37450980392155,403.8,19850.0,18836.0,12890.0,0.0,936.0,59.0,3283.0,
San José de Maipo,2022,383680.0,93.43589743589745,582.4,945.0,1526.0,6009.0,13806.0,0.0,25.0,5879.0,
San José de Maipo,2023,9738.0,,,9.0,9.0,35.0,157.0,0.0,,346.0,
San Miguel,2020,325899.0,88.33157894736841,86.3,230.0,0.0,0.0,0.0,0.0,301.0,3142.0,2223503.0
San Miguel,2021,1381667.0,89.07307692307693,395.5,111164.0,106452.0,80054.0,0.0,3370.0,277.0,16134.0,
San Miguel,2022,3442813.0,89.92564102564103,649.5,4453.0,7171.0,25142.0,83640.0,0.0,108.0,27763.0,
San Miguel,2023,87708.0,,,36.0,28.0,103.0,268.0,0.0,,1746.0,
San Pedro,2020,14548.0,87.35263157894737,59.1,0.0,0.0,0.0,0.0,0.0,5.0,84.0,
San Pedro,2021,82190.0,93.35961538461538,467.9,10912.0,10210.0,6868.0,0.0,1156.0,12.0,702.0,
San Pedro,2022,203196.0,94.20256410256412,626.3,842.0,1025.0,3480.0,7229.0,0.0,5.0,1349.0,
San Pedro,2023,5042.0,,,3.0,4.0,10.0,39.0,0.0,,82.0,
San Ramón,2020,275643.0,92.7,117.8,101.0,0.0,0.0,0.0,0.0,324.0,3391.0,1037693.0
San Ramón,2021,974815.0,89.62941176470589,522.9,74281.0,69993.0,46650.0,0.0,2971.0,259.0,14615.0,
San Ramón,2022,1753755.0,93.38717948717948,606.1,4750.0,6675.0,22516.0,49739.0,0.0,60.0,22214.0,
San Ramón,2023,40635.0,,,24.0,17.0,48.0,134.0,0.0,,1294.0,
Santiago,2020,939103.0,86.56842105263158,73.2,1228.0,0.0,0.0,0.0,0.0,542.0,5629.0,15278353.0
Santiago,2021,3899492.0,88.12115384615385,403.7,338702.0,326012.0,251288.0,0.0,14865.0,416.0,25461.0,
Santiago,2022,11079721.0,89.9025641025641,532.1,15783.0,20733.0,73303.0,260412.0,0.0,161.0,45460.0,
Santiago,2023,282536.0,,,143.0,77.0,257.0,711.0,0.0,,2924.0,
Talagante,2020,104922.0,92.54736842105264,73.7,90.0,0.0,0.0,0.0,0.0,107.0,1305.0,
Talagante,2021,476645.0,92.0346153846154,350.1,67377.0,64416.0,44910.0,0.0,1298.0,120.0,6459.0,
Talagante,2022,1412147.0,94.34871794871796,633.7,2822.0,4428.0,17363.0,46715.0,0.0,54.0,10498.0,
Talagante,2023,37071.0,,,43.0,43.0,67.0,282.0,0.0,,650.0,
Tiltil,2020,34544.0,90.7,75.6,0.0,0.0,0.0,0.0,0.0,19.0,259.0,
Tiltil,2021,161208.0,88.7826923076923,542.0,18580.0,17653.0,12604.0,0.0,1192.0,30.0,1572.0,
