Comuna,Año,Población,Casos confirmados,Porcentaje promedio de cobertura de casos sospechosos,Total de casos positivos según el test PCR,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis,Fallecidos por covid-19,Total fallecidos,Cant de transacciones BIP en 2020,% Vacunados 1ra dosis,% Vacunados 2da dosis,% Vacunados 4ta dosis,% Vacunados dosis de refuerzo,% Fallecidos COVID,% Casos confirmados
La Cisterna,2023,101164,49608.0,,,21.0,20.0,60.0,180.0,0.0,,1292.0,,0.02075837254359258,0.019769878612945317,0.17792890751650783,0.059309635838835945,,49.03720691154956
La Florida,2020,368666,851078.0,86.48421052631579,82.0,235.0,0.0,0.0,0.0,0.0,733.0,10053.0,5380051.0,0.06374333407474515,0.0,0.0,0.0,0.19882495266718386,230.85340118155727
La Florida,2021,370209,3712626.0,92.5096153846154,486.2,374355.0,357746.0,253974.0,0.0,8848.0,641.0,45475.0,,101.11990794389116,96.6335232260696,0.0,68.60287027057689,0.1731454394679762,1002.8459599847654
La Florida,2022,371751,8521008.0,92.7,685.5,15161.0,25198.0,99700.0,271971.0,0.0,284.0,74509.0,,4.078267442454762,6.778192930214042,73.15945350516878,26.819026714117783,0.07639522153269258,2292.127795217767
La Florida,2023,373294,216278.0,,,117.0,82.0,368.0,1259.0,0.0,,4600.0,,0.03134258787979448,0.02196660005250553,0.3372676764159081,0.09858181486978093,,57.937711294582826
La Granja,2020,114090,428519.0,92.34210526315788,94.8,0.0,0.0,0.0,0.0,0.0,313.0,4166.0,686554.0,0.0,0.0,0.0,0.0,0.27434481549653783,375.59733543693574
La Granja,2021,113573,1507634.0,93.38846153846154,487.9,117665.0,111834.0,74451.0,0.0,3886.0,247.0,17379.0,,103.60296901552306,98.46882621749887,0.0,65.55343259401442,0.21748126755478853,1327.4581106424944
La Granja,2022,113056,2681062.0,94.03589743589744,592.4,5486.0,8247.0,34610.0,78064.0,0.0,86.0,26891.0,,4.85246249646193,7.294615058024342,69.04896688366827,30.613147466742145,0.07606849702802151,2371.4460090574585
La Granja,2023,112539,62133.0,,,25.0,26.0,80.0,232.0,0.0,,1594.0,,0.02221452118821031,0.02310310203573872,0.20615075662659166,0.071086467802273,,55.210193799482845
La Pintana,2020,175859,628278.0,92.8315789473684,85.2,0.0,0.0,0.0,0.0,0.0,503.0,6460.0,667068.0,0.0,0.0,0.0,0.0,0.2860245992528105,357.26235222536235
La Pintana,2021,175750,2311741.0,90.26346153846154,518.1,119088.0,111765.0,72070.0,0.0,7683.0,330.0,27036.0,,67.75988620199146,63.5931721194879,0.0,41.007112375533424,0.18776671408250356,1315.3576102418208
La Pintana,2022,175640,3745991.0,89.75641025641026,529.3,6664.0,10073.0,39615.0,78816.0,0.0,68.0,40642.0,,3.794124345251651,5.735026189933956,44.87360510134366,22.554657253473014,0.0387155545433842,2132.766454110681
La Pintana,2023,175531,81435.0,,,33.0,11.0,84.0,245.0,0.0,,2346.0,,0.018800097988389514,0.006266699329463171,0.1395764850653161,0.04785479487953695,,46.39351453589394
La Reina,2020,90925,141841.0,88.27368421052631,62.6,300.0,0.0,0.0,0.0,0.0,137.0,1779.0,1671450.0,0.3299422601044817,0.0,0.0,0.0,0.15067363211437998,155.99780038493262
La Reina,2021,90662,635915.0,89.52307692307691,293.2,142352.0,138119.0,108557.0,0.0,2443.0,132.0,7359.0,,157.01396395402705,152.34497363834902,0.0,119.73814828704418,0.14559572919194372,701.412940371931
La Reina,2022,90398,2015970.0,92.99230769230768,613.6,3130.0,6179.0,28439.0,114192.0,0.0,78.0,12862.0,,3.4624659837607026,6.835328215226001,126.32137879156618,31.4597668090002,0.08628509480298237,2230.104648332928
La Reina,2023,90134,55866.0,,,79.0,43.0,129.0,520.0,0.0,,854.0,,0.08764728071537932,0.04770674773115584,0.5769188097721171,0.1431202431934675,,61.98105043601748
Las Condes,2020,290928,389526.0,84.15263157894738,60.6,240.0,0.0,0.0,0.0,0.0,480.0,6350.0,7538233.0,0.08249463784853985,0.0,0.0,0.0,0.1649892756970797,133.8908595941264
Las Condes,2021,292229,1731797.0,89.47692307692309,242.8,344164.0,334344.0,268218.0,0.0,5841.0,319.0,25653.0,,117.77202125730165,114.41164292387134,0.0,91.78349855763803,0.10916096622853994,592.6164069958834
Las Condes,2022,293531,6258565.0,92.8948717948718,526.2,6670.0,13844.0,62066.0,277295.0,0.0,179.0,40899.0,,2.2723323941934583,4.716367266149061,94.4687273235195,21.144615049177087,0.060981633967110795,2132.1649161417363
Las Condes,2023,294832,171617.0,,,130.0,82.0,317.0,1286.0,0.0,,2618.0,,0.04409290714712107,0.027812449123568676,0.4361806045476746,0.1075188581972106,,58.20840342974982
Lo Barnechea,2020,107295,211782.0,90.73157894736842,52.0,0.0,0.0,0.0,0.0,0.0,113.0,1529.0,652974.0,0.0,0.0,0.0,0.0,0.10531711636143344,197.38291625891236
Lo Barnechea,2021,108626,864606.0,92.76538461538462,224.4,132001.0,126504.0,95200.0,0.0,3319.0,87.0,6286.0,,121.51878924014508,116.45830648279419,0.0,87.64015981440907,0.08009132251947047,795.9475631984976
Lo Barnechea,2022,109957,2358534.0,94.97692307692309,447.4,3983.0,7685.0,29641.0,99704.0,0.0,39.0,10466.0,,3.62232509071728,6.989095737424629,90.67544585610739,26.956901334157894,0.035468410378602544,2144.9603026637687
Lo Barnechea,2023,111289,59275.0,,,124.0,96.0,149.0,609.0,0.0,,664.0,,0.11142161399599242,0.08626189470657478,0.5472238945448338,0.1338856490758296,,53.262227174293955
Lo Espejo,2020,93426,265049.0,93.1421052631579,97.8,0.0,0.0,0.0,0.0,0.0,271.0,3972.0,747245.0,0.0,0.0,0.0,0.0,0.29006914563397773,283.6993984543917
Lo Espejo,2021,91894,983972.0,91.48269230769232,439.9,83173.0,78246.0,50919.0,0.0,3201.0,235.0,17316.0,,90.50971771824058,85.1481054258167,0.0,55.41058175724204,0.25572942738372473,1070.7684941345462
Lo Espejo,2022,90361,1912778.0,94.92564102564104,526.2,4396.0,6407.0,24388.0,53459.0,0.0,84.0,25759.0,,4.864930666991291,7.090448312878343,59.16158519715364,26.989519814964417,0.09296045860492912,2116.8180963026084
Lo Espejo,2023,88828,45813.0,,,27.0,15.0,62.0,158.0,0.0,,1514.0,,0.030395821137479174,0.016886567298599543,0.17787184221191515,0.0697978115008781,,51.57495384338272
Lo Prado,2020,93596,300299.0,94.0,67.0,0.0,0.0,0.0,0.0,0.0,217.0,2978.0,5048928.0,0.0,0.0,0.0,0.0,0.231847514851062,320.84597632377455
