Comuna,Año,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis
San José de Maipo,2023,9.0,9.0,35.0,157.0,0.0
San Miguel,2020,230.0,0.0,0.0,0.0,0.0
San Miguel,2021,111164.0,106452.0,80054.0,0.0,3370.0
San Miguel,2022,4453.0,7171.0,25142.0,83640.0,0.0
San Miguel,2023,36.0,28.0,103.0,268.0,0.0
San Pedro,2020,0.0,0.0,0.0,0.0,0.0
San Pedro,2021,10912.0,10210.0,6868.0,0.0,1156.0
San Pedro,2022,842.0,1025.0,3480.0,7229.0,0.0
San Pedro,2023,3.0,4.0,10.0,39.0,0.0
San Ramón,2020,101.0,0.0,0.0,0.0,0.0
San Ramón,2021,74281.0,69993.0,46650.0,0.0,2971.0
San Ramón,2022,4750.0,6675.0,22516.0,49739.0,0.0
San Ramón,2023,24.0,17.0,48.0,134.0,0.0
Santiago,2020,1228.0,0.0,0.0,0.0,0.0
Santiago,2021,338702.0,326012.0,251288.0,0.0,14865.0
Santiago,2022,15783.0,20733.0,73303.0,260412.0,0.0
Santiago,2023,143.0,77.0,257.0,711.0,0.0
Talagante,2020,90.0,0.0,0.0,0.0,0.0
Talagante,2021,67377.0,64416.0,44910.0,0.0,1298.0
Talagante,2022,2822.0,4428.0,17363.0,46715.0,0.0
Talagante,2023,43.0,43.0,67.0,282.0,0.0
Tiltil,2020,0.0,0.0,0.0,0.0,0.0
Tiltil,2021,18580.0,17653.0,12604.0,0.0,1192.0
Tiltil,2022,993.0,1460.0,5348.0,13530.0,0.0
Tiltil,2023,11.0,2.0,16.0,61.0,0.0
Vitacura,2020,337.0,0.0,0.0,0.0,0.0
Vitacura,2021,122074.0,118621.0,96883.0,0.0,2179.0
Vitacura,2022,3332.0,5873.0,19698.0,98643.0,0.0
Vitacura,2023,62.0,40.0,158.0,402.0,0.0
Ñuñoa,2020,75.0,0.0,0.0,0.0,0.0
Ñuñoa,2021,250953.0,241571.0,173467.0,0.0,8339.0
Ñuñoa,2022,8280.0,12539.0,64093.0,184779.0,130.0
Ñuñoa,2023,83.0,72.0,210.0,879.0,0.0
